0315;0220
Bounds;297.851805;55.123320;298.369773;55.578502
Aperture;12;1;3
Background photometric window
DATE_OBS     ;NAME                     ;FILTER;CATRA     ;CATDEC    ;IMGRA     ;IMGDEC    ;IMGX    ;IMGY    ;R1mag ;BKGROUND;BGSTDDEV;BGRJCT;PSF_A    ;PSF_SIGMAX;PSF_SIGMAY;PSF_THETA;PSF_MAD     ;FLUX12   ;SNR12   ;FLAG
2457266.63581;USNO 1451-0297142        ;I     ;298.023923; 55.155345;298.023817; 55.155288;1381.053; 360.685;13.040;415.5337;23.01716;0.1644;0.0041563;4.49850523;3.28023856;68.485718;2.83191E-002;10537.641;39.69960;0000
2457266.63581;USNO 1451-0297548        ;I     ;298.272180; 55.157588;298.272195; 55.157541;1369.418; 808.498;13.050;413.0549;23.01716;0.1644;0.0035935;4.85000906;3.21150604;59.368481;2.93483E-002;9845.3563;37.27506;0000
2457266.63581;USNO 1452-0296073        ;I     ;298.107517; 55.270817;298.107973; 55.270540;1015.878; 508.886;13.110;414.2713;23.01716;0.1644;0.0015384;4.04150482;3.58792432;98.963425;8.20795E-002;4549.0808;17.91659;0000
2457266.63581;USNO 1453-0298265        ;I     ;298.363414; 55.324253;298.366859; 55.325880; 835.892; 972.018;13.120;416.9793;23.01716;0.1644;0.0047354;4.23737407;3.31217188;57.823310;4.10139E-002;12365.553;45.99328;0005
2457266.63581;USNO 1454-0299964        ;I     ;297.925192; 55.478070;297.925024; 55.478053; 363.506; 175.240;13.150;417.1793;23.01716;0.1644;0.0023509;4.40654533;4.01443033;103.41604;4.67296E-002;6766.1145;26.20166;0000
2457266.63581;USNO 1452-0295732        ;I     ;297.894352; 55.244442;297.894417; 55.244347;1101.636; 125.445;13.170;411.3832;23.01716;0.1644;0.0038104;4.29896813;3.55542605;68.818354;3.07520E-002;9734.8334;36.88584;0000
2457266.63581;USNO 1452-0296358        ;I     ;298.283062; 55.267525;298.282800; 55.267506;1022.065; 823.354;13.170;414.7782;23.01716;0.1644;0.0037217;4.42611309;3.49656119;60.774265;3.05808E-002;9422.6991;35.78342;0000
2457266.63581;USNO 1452-0295753        ;I     ;297.911717; 55.216717;297.911664; 55.216605;1189.008; 157.088;13.210;410.0112;23.01716;0.1644;0.0041209;4.22705537;3.55641567;55.030729;3.20347E-002;10973.882;41.21569;0000
2457266.63581;USNO 1454-0300393        ;I     ;298.197778; 55.485371;298.197791; 55.485303; 336.296; 662.880;13.310;418.2238;23.01716;0.1644;0.0026264;4.42507677;4.21653142;67.924884;4.34961E-002;8406.5887;32.16117;0000
2457266.63581;USNO 1452-0295703        ;I     ;297.874299; 55.212949;297.874348; 55.212878;1201.206;  89.974;13.340;410.5958;23.01716;0.1644;0.0031521;4.39057415;3.36711800;71.202708;3.77175E-002;8492.8473;32.47068;0002
2457266.63581;USNO 1452-0295750        ;I     ;297.907489; 55.243014;297.907525; 55.242911;1106.015; 149.062;13.370;411.6622;23.01716;0.1644;0.0030619;4.19576227;3.49313995;58.139516;3.88471E-002;8047.6106;30.86903;0000
2457266.63581;USNO 1452-0295930        ;I     ;298.030123; 55.282056;298.030116; 55.282066; 980.750; 368.579;13.390;412.5576;23.01716;0.1644;0.0025489;4.33088754;3.73338329;59.607757;4.19156E-002;7107.1708;27.45228;0000
2457266.63581;USNO 1451-0297416        ;I     ;298.184682; 55.131969;298.184673; 55.131940;1452.007; 651.559;13.410;414.2210;23.01716;0.1644;0.0027751;4.86570544;3.38221821;75.674964;3.97070E-002;7556.7403;29.09139;0000
2457266.63581;USNO 1453-0297987        ;I     ;298.196688; 55.325708;298.196651; 55.325618; 840.393; 666.414;13.420;413.5193;23.01716;0.1644;0.0027633;4.15583093;3.31556241;40.784676;4.24874E-002;6804.7351;26.34359;0000
2457266.63581;USNO 1453-0297846        ;I     ;298.097131; 55.352895;298.097191; 55.352909; 756.046; 486.997;13.450;415.0513;23.01716;0.1644;0.0024882;4.30161147;3.71435930;57.322015;4.34060E-002;6542.0767;25.37674;0000
2457266.63581;USNO 1454-0300001        ;I     ;297.944842; 55.496917;297.944981; 55.496720; 304.327; 210.498;13.480;418.2723;23.01716;0.1644;0.0021385;4.74526833;4.32426506;24.538648;5.09348E-002;7257.5029;28.00157;0000
2457266.63581;USNO 1454-0300454        ;I     ;298.235939; 55.424009;298.235924; 55.423918; 529.313; 733.326;13.510;415.5040;23.01716;0.1644;0.0035202;4.32512400;3.64745194;66.883573;3.03839E-002;9185.6949;34.94314;0000
2457266.63581;USNO 1453-0297737        ;I     ;298.027670; 55.320770;298.027683; 55.320741; 858.699; 363.151;13.520;414.3514;23.01716;0.1644;0.0024011;4.00642302;3.65820815;73.410544;4.56922E-002;5687.2448;22.20410;0000
2457266.63581;USNO 1454-0299906        ;I     ;297.881267; 55.430667;297.881222; 55.430602; 513.815;  97.866;13.520;414.2424;23.01716;0.1644;0.0021231;4.48738530;4.26488674;80.057960;5.40498E-002;6982.5465;26.99601;0000
2457266.63581;USNO 1452-0295817        ;I     ;297.959491; 55.252299;297.959577; 55.252220;1075.970; 242.499;13.560;414.5673;23.01716;0.1644;0.0029321;3.89988878;3.45010454;67.128661;3.79429E-002;7255.1447;27.99296;0000
2457266.63581;USNO 1454-0300435        ;I     ;298.224434; 55.400818;298.224304; 55.400786; 602.567; 713.350;13.580;414.1169;23.01716;0.1644;0.0024652;4.41802149;3.76924095;57.177602;4.49447E-002;6814.3026;26.37874;0000
2457266.63581;USNO 1452-0295718        ;I     ;297.884939; 55.275395;297.884991; 55.275322;1003.964; 107.841;13.620;411.4839;23.01716;0.1644;0.0023223;3.89235910;3.64135902;70.486158;4.70174E-002;5245.5866;20.54907;0001
2457266.63581;USNO 1451-0297674        ;I     ;298.357754; 55.147083;298.354675; 55.146156;1403.500; 957.700;13.630;413.6080;23.01716;0.1644;0.0124287;0.63436937;0.34433612;85.730064;1.74827E-002;4123.4019;16.29393;0000
2457266.63581;USNO 1453-0298105        ;I     ;298.268209; 55.334689;298.268122; 55.334602; 810.582; 794.402;13.650;415.9896;23.01716;0.1644;0.0022305;4.08560166;3.43918047;45.254441;5.23389E-002;5097.7662;19.99269;0003
2457266.63581;USNO 1455-0301661        ;I     ;298.269731; 55.527333;298.269830; 55.527193; 202.604; 790.109;13.650;423.9917;23.01716;0.1644;0.0014873;5.22063190;4.49015902;53.058043;7.87595E-002;5474.0188;21.40644;0000
2457266.63581;USNO 1452-0295947        ;I     ;298.040544; 55.265092;298.040543; 55.265081;1034.208; 387.793;13.660;412.4646;23.01716;0.1644;0.0028634;4.24437616;3.56085296;74.544778;3.85026E-002;7200.1513;27.79216;0000
2457266.63581;USNO 1453-0298064        ;I     ;298.244023; 55.354725;298.243915; 55.354682; 747.704; 750.203;13.670;416.5141;23.01716;0.1644;0.0032388;4.12591842;3.50936765;60.404064;3.61597E-002;8276.3544;31.69315;0000
2457266.63581;USNO 1455-0301200        ;I     ;297.977692; 55.572414;297.977709; 55.572301;  65.298; 267.124;13.670;436.0491;23.01716;0.1644;0.0018597;5.01252959;4.53756280;71.679478;7.02515E-002;7360.1125;28.37580;0002
2457266.63581;USNO 1451-0297475        ;I     ;298.224262; 55.163720;298.224398; 55.163571;1351.377; 722.093;13.670;412.7721;23.01716;0.1644;0.0010807;4.32227212;3.81360951;41.238871;9.63973E-002;2810.7306;11.22242;0000
2457266.63581;USNO 1451-0296929        ;I     ;297.895503; 55.146223;297.895249; 55.146157;1411.594; 129.027;13.700;410.3032;23.01716;0.1644;0.0016349;4.22499929;3.25018177;79.367885;6.58703E-002;3953.0649;15.64165;0000
