Primary target: NGC 7790
Exposure time: 120 s
Filter: I
Observation date/time: 2015-08-25 03:36:04
JD: 2457259.65005
Decimal date: 2015-08-25.15005
R.A.: 23:58:33.91
Dec.: 61:13:15.11
Airmass: 1.4488
Calibration: BDF
Apeture radius: 5 pixels
File name: 635764995713153984.fts




Star	IM	SNR	X	Y	Sky	Air	B-V	I-mag	Target estimate	Active		
149	-4.303	 47	706.909	295.802	 310	1.444	0.435	14.287	18.590	True		
149_1	-4.395	 52	983.586	309.155	 311	1.444	0.565	14.173	18.568	True		
149_2	-5.337	 113	916.457	487.889	 312	1.446	1.570	13.190	18.527	True		
149_3	-4.340	 48	555.762	531.098	 310	1.446	0.485	14.277	18.617	True		
149_4	-4.272	 51	1 088.540	694.368	 311	1.447	0.544	14.251	18.523	True		
150	-4.543	 60	544.575	276.699	 308	1.444	0.903	14.014	18.557	True		
150_1	-4.445	 56	607.690	377.300	 309	1.445	0.747	14.103	18.548	True		
150_2	-5.157	 89	976.996	414.470	 313	1.445	1.477	13.368	18.525	True		
150_3	-4.278	 47	551.217	431.994	 312	1.445	0.617	14.257	18.535	True		
150_4	-4.009	 34	892.803	458.933	 314	1.445	0.483	14.450	18.459	True		
151	-4.399	 55	964.448	252.100	 310	1.444	0.778	14.189	18.588	True		
151_1	-5.171	 51	777.907	407.929	 311	1.445	1.611	13.397	18.568	True		
151_2	-4.001	 33	689.949	425.669	 312	1.445	0.502	14.521	18.522	True		
151_3	-4.378	 51	597.911	593.121	 308	1.446	0.862	14.183	18.561	True		
151_4	-4.577	 51	744.170	748.099	 315	1.448	1.079	13.928	18.505	True		
152	-4.003	 37	906.987	343.378	 311	1.444	0.584	14.547	18.550	True		
152_1	-4.386	 43	694.880	353.162	 312	1.444	0.860	14.122	18.508	True		
152_2	-3.917	 31	887.494	371.186	 313	1.445	0.476	14.623	18.540	True		
152_3	-3.941	 34	848.080	430.746	 314	1.445	0.485	14.570	18.511	True		
152_4	-4.411	 52	635.017	546.371	 308	1.446	0.828	14.200	18.611	True		
152_5	-4.370	 49	775.133	553.661	 313	1.446	0.864	14.182	18.552	True		
152_6	-4.039	 38	982.337	567.104	 311	1.446	0.561	14.511	18.550	True		
152_7	-4.113	 41	874.590	570.523	 310	1.446	0.608	14.475	18.588	True		
152_8	-3.898	 32	991.222	690.763	 310	1.447	0.513	14.645	18.543	True		
153	-4.812	 75	572.097	291.660	 307	1.444	1.459	13.694	18.506	True		
153_1	-4.770	 71	547.850	368.997	 308	1.445	1.146	13.759	18.529	True		
153_2	-4.196	 45	644.451	411.459	 310	1.445	0.825	14.325	18.521	True		
153_3	-4.167	 44	651.574	444.681	 310	1.445	0.806	14.387	18.554	True		
153_4	-5.054	 82	912.723	569.967	 315	1.446	1.690	13.470	18.524	True		
153_5	-5.353	 116	911.212	674.852	 310	1.447	1.930	13.193	18.546	True		
153_6	-3.892	 34	1 061.118	720.960	 308	1.448	0.512	14.676	18.568	True		
154	-3.820	 33	1 019.327	531.433	 309	1.446	0.522	14.763	18.583	True		
154_1	-4.172	 41	840.114	608.984	 308	1.447	0.690	14.408	18.580	True		
154_2	-4.804	 61	1 024.609	687.870	 311	1.447	1.531	13.722	18.526	True		
154_3	-4.273	 47	644.815	688.690	 308	1.447	0.972	14.306	18.579	True		
155	-4.202	 46	722.916	257.248	 308	1.444	0.945	14.334	18.536	True		
155_1	-4.756	 70	772.348	270.687	 311	1.444	1.466	13.762	18.518	True		
155_2	-3.589	 25	935.609	365.224	 312	1.445	0.531	14.869	18.458	True		
155_3	-4.639	 67	564.695	553.580	 310	1.446	1.538	13.867	18.506	True		
155_4	-3.665	 28	724.928	648.540	 310	1.447	0.519	14.926	18.591	True		
155_5	-3.745	 27	967.909	777.570	 312	1.448	0.553	14.869	18.614	True		
156	-4.882	 77	780.871	254.202	 313	1.444	1.802	13.610	18.492	True		
156_1	-3.996	 31	623.607	259.283	 309	1.444	0.843	14.553	18.549	True		
156_2	-3.941	 36	1 051.160	326.164	 312	1.444	0.859	14.576	18.517	True		
156_3	-3.970	 35	982.788	339.191	 308	1.444	0.830	14.602	18.572	True		
156_4	-3.572	 24	1 023.049	350.307	 313	1.445	0.614	14.916	18.488	True		
156_5	-3.550	 21	660.926	373.875	 310	1.445	0.542	14.963	18.513	True		
156_6	-3.722	 25	845.239	501.384	 311	1.446	0.555	14.908	18.630	True		
156_7	-3.628	 29	887.591	601.043	 309	1.447	0.545	14.911	18.539	True		
156_8	-4.946	 75	857.310	671.935	 311	1.447	1.870	13.564	18.510	True		
156_9	-4.635	 66	819.716	742.025	 309	1.448	1.467	13.899	18.534	True		
157	-3.847	 29	659.616	268.637	 310	1.444	0.873	14.628	18.475	True		
157_1	-4.333	 50	573.883	335.465	 311	1.444	1.433	14.119	18.452	True		
157_10	-3.759	 31	830.180	648.361	 309	1.447	0.709	14.779	18.538	True		
157_11	-4.289	 43	754.263	771.756	 312	1.448	1.402	14.239	18.528	True		
157_2	-3.686	 29	665.244	393.497	 310	1.445	0.742	14.869	18.555	True		
157_3	-4.418	 50	862.657	490.785	 311	1.446	1.413	14.094	18.512	True		
157_4	-3.783	 29	930.810	503.956	 313	1.446	0.803	14.734	18.517	True		
157_5	-4.032	 29	793.507	516.464	 314	1.446	0.957	14.518	18.550	True		
157_6	-3.538	 22	752.759	543.350	 312	1.446	0.566	15.048	18.586	True		
157_7	-3.584	 24	634.970	602.649	 311	1.446	0.722	14.841	18.425	True		
157_8	-3.839	 33	854.639	629.589	 313	1.447	0.999	14.631	18.470	True		
157_9	-3.803	 27	560.342	639.724	 310	1.447	0.869	14.746	18.549	True		
158	-3.867	 31	887.429	324.498	 311	1.444	1.074	14.604	18.471	True		
158_1	-3.654	 25	840.818	435.708	 313	1.445	0.711	14.875	18.529	True		
158_2	-3.435	 23	601.100	491.509	 313	1.446	0.623	15.056	18.491	True		
158_3	-3.390	 21	954.106	529.279	 313	1.446	0.541	15.100	18.490	True		
158_4	-4.501	 60	688.698	623.896	 309	1.447	1.558	14.036	18.537	True		
158_5	-3.909	 36	1 029.436	630.874	 308	1.447	0.954	14.670	18.579	True		
158_6	-3.811	 31	741.835	635.227	 311	1.447	0.888	14.724	18.535	True		
158_7	-4.000	 34	950.205	682.965	 311	1.447	1.211	14.525	18.525	True		
159	-4.675	 66	956.855	279.528	 312	1.444	1.811	13.813	18.488	True		
159_1	-3.409	 20	691.333	369.943	 311	1.445	0.771	15.038	18.447	True		
159_2	-3.761	 27	1 104.289	453.067	 308	1.445	0.912	14.846	18.607	True		
159_3	-3.514	 23	754.881	455.410	 313	1.445	0.776	14.966	18.480	True		
159_4	-3.615	 24	916.999	557.373	 312	1.446	0.730	15.015	18.630	True		
159_5	-3.608	 22	935.364	574.673	 313	1.446	0.831	14.837	18.445	True		
159_6	-3.458	 23	857.182	587.885	 313	1.446	0.715	14.991	18.449	True		
159_7	-3.306	 20	761.572	597.841	 311	1.446	0.566	15.172	18.478	True		
159_8	-3.772	 32	847.347	772.805	 313	1.448	0.994	14.725	18.497	True		
