Primary target: NGC 7790
Exposure time: 60 s
Filter: B
Observation date/time: 2015-08-25 03:23:06
JD: 2457259.64104
Decimal date: 2015-08-25.14104
R.A.: 23:58:33.11
Dec.: 61:13:13.47
Airmass: 1.4930
Calibration: BDF
Apeture radius: 5 pixels
File name: 635764995654053984.fts




Star	IM	SNR	X	Y	Sky	Air	B-V	B-mag	Target estimate	Active		
152_5	-2.675	 8	773.880	558.987	 155	1.488	0.864	16.104	18.779	True		
152_6	-2.831	 9	980.503	571.994	 157	1.489	0.561	15.825	18.656	True		
152_7	-2.597	 7	872.619	575.371	 156	1.489	0.608	15.890	18.487	True		
152_8	-2.850	 9	989.672	695.445	 155	1.490	0.513	15.794	18.644	True		
153	-1.814	 4	570.126	296.775	 154	1.486	1.459	16.819	18.633	True		
153_1	-2.749	 8	546.505	374.290	 154	1.486	1.146	16.450	19.199	True		
153_2	-2.585	 7	642.961	416.500	 155	1.487	0.825	16.182	18.767	True		
153_3	-2.317	 6	649.298	450.031	 155	1.487	0.806	16.191	18.508	True		
153_4	-1.772	 3	911.606	574.338	 155	1.489	1.690	17.077	18.849	True		
153_5	-0.806	 1	909.709	679.882	 155	1.489	1.930	17.276	18.082	True		
153_6	-3.022	 10	1 059.491	726.007	 154	1.490	0.512	15.817	18.839	True		
154	-2.854	 9	1 017.354	536.851	 155	1.488	0.522	15.996	18.850	True		
154_1	-2.782	 8	839.046	614.458	 155	1.489	0.690	16.100	18.882	True		
154_2	-2.600	 7	643.558	693.908	 155	1.489	0.972	16.409	19.009	True		
